,layer_0,layer_1,layer_2
head_0,0.15140246,0.18388163,0.12735882
head_1,0.14857739,0.14363468,0.10786842
head_2,0.10465263,0.123772316,0.16983698
head_3,0.14757459,0.17610747,0.17235775
head_4,0.12218983,0.06300118,0.14571857
head_5,0.16446485,0.05104226,0.11937011
head_6,0.1656468,0.07787644,0.1522989
head_7,0.15672962,0.16343716,0.14519852
head_8,0.16599488,0.08861569,0.16780062
head_9,0.14548159,0.13531873,0.17590477
head_10,0.15871832,0.049659368,0.12851694
head_11,0.13686764,0.074072905,0.15135656
head_12,0.15866284,0.10573507,0.13577268
head_13,0.13811752,0.18675902,0.16294727
head_14,0.13258097,0.18800518,0.16402431
head_15,0.15818185,0.13550285,0.16161235
